"boundaryCondition","compartmentCode","constant","cyId","derivedUnits","exponent","fast","fbc_charge","fbc_chemicalFormula","fbc_lowerFluxBound","fbc_objective-obj","fbc_upperFluxBound","hasOnlySubstanceUnits","kind","label","metaId","multiplier","name","reversible","sbml compartment","sbml id","sbml type","sbml type ext","sbo","scale","selected","shared name","units","unitSid","value"
,,,"UnitSId__mmol_per_gDW_per_hr",,,,,,,,,,,"mmol_per_gDW_per_hr","UnitSId__mmol_per_gDW_per_hr",,,,,,"unitDefinition","unitDefinition",,,"false",,,"mmol_per_gDW_per_hr",
,,,"UnitSId__MOLE",,"1.0",,,,,,,,"MOLE","MOLE","UnitSId__MOLE","1.0",,,,,"unit","unit",,"-3","false",,,,
,,,"UnitSId__GRAM",,"-1.0",,,,,,,,"GRAM","GRAM","UnitSId__GRAM","1.0",,,,,"unit","unit",,"0","false",,,,
,,,"UnitSId__SECOND",,"-1.0",,,,,,,,"SECOND","SECOND","UnitSId__SECOND","3600.0",,,,,"unit","unit",,"0","false",,,,
,,"true","c","",,,,,,,,,,"cytosol","c",,,,,"c","compartment","compartment",,,"false","cytosol",,,
,,"true","p","",,,,,,,,,,"periplasm","p",,,,,"p","compartment","compartment",,,"false","periplasm",,,
,,"true","u","",,,,,,,,,,"thylakoid","u",,,,,"u","compartment","compartment",,,"false","thylakoid",,,
,,"true","e","",,,,,,,,,,"extracellular space","e",,,,,"e","compartment","compartment",,,"false","extracellular space",,,
,,"true","cobra_default_lb","",,,,,,,,,,"cobra_default_lb","cobra_default_lb",,,,,"cobra_default_lb","parameter","parameter","SBO:0000626",,"false",,,,"-1000.0"
,,"true","cobra_default_ub","",,,,,,,,,,"cobra_default_ub","cobra_default_ub",,,,,"cobra_default_ub","parameter","parameter","SBO:0000626",,"false",,,,"1000.0"
,,"true","cobra_0_bound","",,,,,,,,,,"cobra_0_bound","cobra_0_bound",,,,,"cobra_0_bound","parameter","parameter","SBO:0000626",,"false",,,,"0.0"
,,"true","minus_inf","",,,,,,,,,,"minus_inf","minus_inf",,,,,"minus_inf","parameter","parameter","SBO:0000626",,"false",,,,"-Infinity"
,,"true","plus_inf","",,,,,,,,,,"plus_inf","plus_inf",,,,,"plus_inf","parameter","parameter","SBO:0000626",,"false",,,,"Infinity"
,,"true","R_EX_glc__D_e_lower_bound","mmol_per_gDW_per_hr",,,,,,,,,,"R_EX_glc__D_e_lower_bound","R_EX_glc__D_e_lower_bound",,,,,"R_EX_glc__D_e_lower_bound","parameter","parameter","SBO:0000625",,"false",,"mmol_per_gDW_per_hr",,"-0.85"
"false","1","false","meta_M_hgentis_c",,,,"-1","C8H7O4",,,,"false",,"Homogentisate C8H7O4","meta_M_hgentis_c",,,,"c","M_hgentis_c","species","species","SBO:0000247",,"false","Homogentisate C8H7O4",,,
"false","1","false","meta_M_3hdecACP_c",,,,"-1","C21H39N2O9PRS",,,,"false",,"(R)-3-Hydroxydecanoyl-[acyl-carrier protein]","meta_M_3hdecACP_c",,,,"c","M_3hdecACP_c","species","species","SBO:0000247",,"false","(R)-3-Hydroxydecanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_h2o_c",,,,"0","H2O",,,,"false",,"H2O H2O","meta_M_h2o_c",,,,"c","M_h2o_c","species","species","SBO:0000247",,"false","H2O H2O",,,
"false","1","false","meta_M_tdec2eACP_c",,,,"-1","C21H37N2O8PRS",,,,"false",,"Trans-Dec-2-enoyl-[acyl-carrier protein]","meta_M_tdec2eACP_c",,,,"c","M_tdec2eACP_c","species","species","SBO:0000247",,"false","Trans-Dec-2-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3hddecACP_c",,,,"-1","C23H43N2O9PRS",,,,"false",,"(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]","meta_M_3hddecACP_c",,,,"c","M_3hddecACP_c","species","species","SBO:0000247",,"false","(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_tddec2eACP_c",,,,"-1","C23H41N2O8PRS",,,,"false",,"Trans-Dodec-2-enoyl-[acyl-carrier protein]","meta_M_tddec2eACP_c",,,,"c","M_tddec2eACP_c","species","species","SBO:0000247",,"false","Trans-Dodec-2-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3hcddec5eACP_c",,,,"-1","C23H41N2O9PRS",,,,"false",,"(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]","meta_M_3hcddec5eACP_c",,,,"c","M_3hcddec5eACP_c","species","species","SBO:0000247",,"false","(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_t3c5ddeceACP_c",,,,"-1","C23H39N2O8PRS",,,,"false",,"Trans-3-cis-5-dodecenoyl-[acyl-carrier protein]","meta_M_t3c5ddeceACP_c",,,,"c","M_t3c5ddeceACP_c","species","species","SBO:0000247",,"false","Trans-3-cis-5-dodecenoyl-[acyl-carrier protein]",,,
